sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
11,window,audio,5,9,0.014362454414367676,-0.05949735641479492
11,window,audio,9,13,0.006692290306091309,-0.031667470932006836
11,window,audio,13,15,-6.22868537902832e-05,-0.0005929470062255859
11,window,vision,1,5,0.05654674768447876,-0.13070565462112427
11,window,vision,5,9,0.019112825393676758,-0.041440367698669434
11,window,vision,9,13,-0.006314873695373535,0.02085423469543457
11,window,vision,13,15,-0.0013821125030517578,0.0016189813613891602
12,modality,text,-1,-1,0.39315611124038696,-0.8459449410438538
12,modality,audio,-1,-1,0.0069956183433532715,-0.058084726333618164
12,modality,vision,-1,-1,0.13990092277526855,-0.4151644706726074
12,window,text,1,5,0.012645244598388672,-0.06145346164703369
12,window,text,5,9,-0.02514415979385376,0.15216529369354248
12,window,text,9,13,-0.00953143835067749,0.061928391456604004
12,window,text,13,17,0.02234095335006714,-0.07735311985015869
12,window,text,17,21,-0.0005101561546325684,0.010123252868652344
12,window,text,21,25,0.018545806407928467,-0.06798303127288818
12,window,text,25,29,0.0005286335945129395,-0.030009150505065918
12,window,text,29,33,-0.010131478309631348,-0.011363387107849121
12,window,text,33,37,0.0988432765007019,-0.2491382360458374
12,window,text,37,41,0.06903856992721558,-0.20475518703460693
12,window,text,41,43,0.022699415683746338,-0.16400516033172607
12,window,audio,1,5,-0.0013892054557800293,-0.0007822513580322266
12,window,audio,5,9,0.0018967390060424805,-0.010994315147399902
12,window,audio,9,13,-0.00037479400634765625,-6.4373016357421875e-06
12,window,audio,13,17,0.003622889518737793,-0.02068793773651123
12,window,audio,17,21,-0.0003609657287597656,-0.005952715873718262
12,window,audio,21,25,0.0008595585823059082,-0.007732391357421875
12,window,audio,25,29,0.0004923343658447266,-0.006294608116149902
12,window,audio,29,33,-0.006675124168395996,0.02839982509613037
12,window,audio,33,37,-0.003981232643127441,0.01601588726043701
12,window,audio,37,41,0.0068885087966918945,-0.02706325054168701
12,window,audio,41,43,0.005201101303100586,-0.014880061149597168
12,window,vision,1,5,0.0019995570182800293,-0.017731070518493652
12,window,vision,5,9,0.005139648914337158,-0.012761235237121582
12,window,vision,9,13,0.002894282341003418,-0.009374260902404785
12,window,vision,13,17,0.010637819766998291,-0.04530680179595947
12,window,vision,17,21,0.0027568936347961426,-0.009194731712341309
12,window,vision,21,25,0.009489715099334717,-0.04225921630859375
12,window,vision,25,29,0.002847015857696533,-0.01187288761138916
12,window,vision,29,33,0.0073677897453308105,-0.02867734432220459
12,window,vision,33,37,0.022246956825256348,-0.08330100774765015
12,window,vision,37,41,0.016737759113311768,-0.06694352626800537
12,window,vision,41,43,0.008823215961456299,-0.05742621421813965
13,modality,text,-1,-1,0.3611714243888855,0.63585364818573
13,modality,audio,-1,-1,0.05328434705734253,-0.14106673002243042
13,modality,vision,-1,-1,0.0,-2.9802322387695312e-08
13,window,text,1,5,0.08293086290359497,0.14251628518104553
13,window,text,5,9,0.052301108837127686,0.0014239251613616943
13,window,text,9,13,0.03366994857788086,0.010475978255271912
13,window,text,13,17,-0.003031015396118164,0.03726071119308472
13,window,text,17,21,0.012914121150970459,0.016782119870185852
13,window,text,21,25,0.016981661319732666,0.03135225176811218
13,window,text,25,29,-0.03359055519104004,0.10952873528003693
13,window,text,29,31,0.005380988121032715,0.02976222336292267
13,window,audio,1,5,0.0027579665184020996,-0.03900405764579773
13,window,audio,5,9,0.008552134037017822,-0.03406637907028198
13,window,audio,9,13,0.008822798728942871,-0.009833544492721558
13,window,audio,13,17,0.011073291301727295,-0.007923871278762817
13,window,audio,17,21,0.004702448844909668,-0.005470305681228638
13,window,audio,21,25,0.005742430686950684,-0.010247588157653809
13,window,audio,25,29,0.0021172761917114258,-0.017049312591552734
13,window,audio,29,31,0.0026832222938537598,-0.009618043899536133
13,window,vision,1,5,0.0,-2.9802322387695312e-08
13,window,vision,5,9,0.0,-2.9802322387695312e-08
13,window,vision,9,13,0.0,-2.9802322387695312e-08
13,window,vision,13,17,0.0,-2.9802322387695312e-08
13,window,vision,17,21,0.0,-2.9802322387695312e-08
13,window,vision,21,25,0.0,-2.9802322387695312e-08
13,window,vision,25,29,0.0,-2.9802322387695312e-08
13,window,vision,29,31,0.0,-2.9802322387695312e-08
14,modality,text,-1,-1,0.6473195552825928,-0.632846474647522
14,modality,audio,-1,-1,0.011510312557220459,-0.020985275506973267
14,modality,vision,-1,-1,-0.03921353816986084,0.22352664172649384
14,window,text,1,5,0.21379590034484863,-0.21069428324699402
14,window,text,5,9,0.17044192552566528,-0.22029638290405273
14,window,text,9,13,0.2311118245124817,-0.26054468750953674
14,window,text,13,17,0.10169988870620728,-0.12228521704673767
